personId,source,sourceID
473,Pharmaceuticals,517
474,Pharmaceuticals,517
475,Manufacturing,397
475,Investments,360
476,Media,405
476,Automotive,40
477,Finance,243
478,Hedge funds,312
479,Medical packaging,411
480,Media,405
480,Automotive,40
481,Software,619
482,Biotech,70
483,Luxury goods,393
484,Paints,492
485,Mortgage lender,433
486,IT provider,337
487,Textiles,692
487,Petrochemicals,511
488,Kitchen appliances,365
489,Luxury goods,393
490,Consumer goods,145
491,Consumer goods,145
492,Consumer goods,145
493,Consumer goods,145
494,Finance,243
495,Real estate,560
496,Carpet,97
497,Fidelity,242
498,Venture capital,729
499,Petrochemicals,511
500,Hotels,327
500,Investments,360
501,Agriculture,9
502,Agriculture,9
503,Pest control,507
504,Finance,243
504,Asset management,33
505,Furniture,270
506,Poultry genetics,535
507,Retail,573
508,Investments,360
509,Soy sauce,632
510,Real estate management,563
511,Apparel,28
512,Retail,573
513,Telecoms,684
513,Media,405
513,Oil-services,468
514,Electronics,211
515,Frozen foods,269
516,Online gambling,473
517,Microsoft,423
518,Plush toys,529
518,Real estate,560
519,Real estate,560
519,Private equity,549
520,Steel,658
521,Investments,360
522,Franklin Templeton,268
523,Online games,474
524,Private equity,549
525,Shipping,603
525,Seafood,586
526,Private equity,549
527,Pharmaceuticals,517
528,Software,619
529,Medical devices,407
530,San Francisco 49ers,580
531,Money management,432
532,Oil,462
532,Investments,360
533,Biotech and investments,71
534,Trading,709
535,Software,619
535,Investments,360
536,Telecom,681
537,Pharmaceuticals,517
538,Online services,480
539,Estee Lauder,223
540,Sporting goods,639
541,Star Wars,655
542,Energy,216
542,Sports,641
543,Biotechnology,73
544,Real estate,560
545,Dental implants,173
546,Food,258
547,Lululemon,390
548,Real estate,560
549,New Balance,450
550,Pharmaceuticals,517
551,Dolby Laboratories,188
552,E-commerce,194
553,Payroll services,503
554,Investments,360
555,Investments,360
556,Palm oil,493
556,Nickel mining,455
557,Medical devices,407
558,Cheese,105
559,U-Haul,719
560,Washington Commanders,743
561,Diversified,187
562,Pipelines,525
563,E-commerce,194
564,Sports retailing,645
